Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
18:49:52,786.2,675,597.5,488.2,394,365.5,0,0,0,0.004,0.038,0.221,0.855,2.471,5.718,11.116,18.776,28.254,38.6,48.582,56.985,62.874,65.749,65.576,62.703,57.736,51.385,44.347,37.216,30.444,24.327,19.024,14.583,10.975,8.119,5.911,4.24,2.999,2.094,1.444,0.984,0.664,0.443,0.293,0.192,0.124,786.2,1.2222558E-8,9.1440924E-8,46.24,984.34,25.43,4.05714,0.782857,0.388571,0.171429,0.0914286,0.0285714,0.0342857,0.0342857,0.0171429,0,0,0.0114286,4.7829e-07,7.33264e-07,1.68107e-06,26.3073
18:53:12,1104,826.5,597.4,520.7,460.4,389.2,0.519,5.572,17.434,33.703,50.8,65.825,77.062,83.886,86.453,85.38,81.49,75.632,68.577,60.964,53.287,45.897,39.028,32.812,27.31,22.526,18.43,14.968,12.075,9.682,7.72,6.124,4.835,3.801,2.975,2.32,1.803,1.397,1.078,0.83,0.637,0.488,0.373,0.284,0.216,0.164,1104,1.4240077E-8,5.7638548E-8,46.99,984.4,24.97,5.77143,1.07429,0.394286,0.188571,0.131429,0.08,0.0342857,0.0114286,0.00571429,0.00571429,0,0.0171429,3.04733e-07,6.50589e-07,1.6128e-06,18.4318
18:56:32,716.2,702.5,575.7,550.7,472.2,432.4,0,0.001,0.015,0.145,0.704,2.254,5.425,10.617,17.76,26.277,35.221,43.533,50.283,54.838,56.928,56.623,54.247,50.279,45.25,39.664,33.952,28.445,23.37,18.861,14.975,11.712,9.034,6.878,5.175,3.851,2.836,2.068,1.494,1.071,0.761,0.537,0.376,0.261,0.181,0.124,716.2,1.3045176E-8,8.2752826E-8,47.87,984.36,24.75,4.16,0.811429,0.382857,0.171429,0.137143,0.0514286,0.0285714,0.00571429,0.0114286,0.0114286,0,0.00571429,3.81443e-07,6.42728e-07,2.38047e-06,21.4356
18:59:52,864.8,656.4,647.8,646.8,643,583.5,0.001,0.045,0.466,2.065,5.745,11.969,20.488,30.434,40.619,49.865,57.241,62.191,64.535,64.411,62.176,58.304,53.304,47.654,41.762,35.953,30.458,25.431,20.956,17.06,13.736,10.948,8.644,6.766,5.253,4.048,3.098,2.355,1.779,1.336,0.998,0.742,0.549,0.404,0.296,0.216,864.8,1.4149372E-8,7.5523388E-8,46.13,984.34,25.39,7.46857,1.46286,0.462857,0.188571,0.16,0.0685714,0.04,0.0285714,0.0171429,0.00571429,0.00571429,0.0228571,4.02751e-07,7.62491e-07,4.1318e-06,24.2336
19:03:12,599.2,583.5,580.1,547.8,504.1,453.2,0,0,0,0,0,0,0,0.001,0.003,0.013,0.042,0.117,0.285,0.618,1.212,2.177,3.62,5.622,8.215,11.368,14.978,18.876,22.845,26.646,30.043,32.831,34.86,36.038,36.343,35.814,34.539,32.644,30.274,27.582,24.712,21.793,18.935,16.221,13.711,11.444,599.2,1.678181E-8,1.4953872E-7,47.43,984.33,24.92,4.34286,0.914286,0.297143,0.142857,0.102857,0.0114286,0.0571429,0.0114286,0.00571429,0,0,0,1.06926e-06,1.43026e-06,1.7462e-06,40.7968
19:06:32,861,806.5,715.8,710,666.1,438,0,0,0.002,0.014,0.071,0.242,0.636,1.39,2.64,4.495,7.006,10.157,13.859,17.965,22.284,26.604,30.716,34.429,37.589,40.084,41.847,42.856,43.13,42.719,41.697,40.156,38.193,35.911,33.407,30.769,28.077,25.399,22.79,20.293,17.939,15.751,13.742,11.916,10.273,8.809,861,2.0870191E-8,1.2598612E-7,45.88,984.36,25.4,3.74857,0.874286,0.348571,0.142857,0.154286,0.108571,0.0285714,0.0342857,0.0171429,0.0114286,0,0.00571429,1.06916e-06,1.43142e-06,3.67177e-06,46.7879
19:09:53,774.5,618.5,548.7,538.1,536,512.5,0.723,6.041,16.298,28.625,40.341,49.753,56.116,59.367,59.855,58.128,54.78,50.373,45.38,40.179,35.048,30.181,25.698,21.664,18.102,15.006,12.351,10.101,8.212,6.64,5.343,4.28,3.415,2.713,2.148,1.695,1.334,1.046,0.818,0.639,0.497,0.386,0.299,0.231,0.179,0.138,774.5,1.4588537E-8,5.6273556E-8,47.69,984.36,25.2,4.87429,1.06286,0.325714,0.188571,0.171429,0.0857143,0.0114286,0.0228571,0.0228571,0,0,0.0171429,2.45974e-07,4.65605e-07,1.48045e-06,13.796
19:13:13,1028,789.2,693,665.1,566.2,377,0,0,0,0.004,0.045,0.267,1.049,3.075,7.196,14.119,24.034,36.398,49.99,63.19,74.38,82.297,86.249,86.162,82.482,76.001,67.662,58.391,48.983,40.042,31.966,24.967,19.112,14.359,10.603,7.704,5.513,3.891,2.71,1.864,1.267,0.852,0.567,0.373,0.244,0.158,1028,1.217285E-8,9.1562668E-8,46.2,984.35,25.33,5.13143,1.10857,0.611429,0.291429,0.308571,0.0571429,0.0457143,0.0228571,0.04,0,0.00571429,0.0228571,6.99209e-07,1.07283e-06,4.4996e-06,36.8541
19:16:33,734.2,726.7,652,601.8,453,422.4,0,0.012,0.101,0.408,1.104,2.337,4.184,6.641,9.623,12.988,16.559,20.148,23.577,26.694,29.377,31.544,33.15,34.181,34.654,34.605,34.089,33.169,31.913,30.393,28.674,26.819,24.886,22.921,20.967,19.058,17.22,15.472,13.829,12.3,10.89,9.599,8.426,7.368,6.419,5.573,734.2,2.2668416E-8,1.12921214E-7,47.53,984.34,25,6.93714,1.36571,0.571429,0.171429,0.142857,0.0628571,0.0628571,0.0171429,0.00571429,0.0114286,0,0.0171429,7.64011e-07,1.24998e-06,2.92068e-06,34.3003
19:19:53,1077,855.8,780,685.8,589.7,443.4,0,0.012,0.186,1.106,3.814,9.346,18.151,29.792,43.06,56.345,68.07,77.019,82.504,84.376,82.923,78.729,72.521,65.043,56.967,48.845,41.086,33.967,27.642,22.174,17.554,13.73,10.618,8.128,6.161,4.629,3.449,2.549,1.871,1.363,0.987,0.71,0.508,0.362,0.256,0.18,1077,1.3399974E-8,7.7217508E-8,45.63,984.38,25.4,6.12,1.08,0.422857,0.217143,0.137143,0.0914286,0.0685714,0.0171429,0.04,0.0114286,0.00571429,0.0228571,4.76893e-07,1.04743e-06,5.70451e-06,31.4728
19:23:13,1307,750.1,591.4,541.4,494.5,467.4,22.902,63.788,91.912,107.368,113.039,111.832,106.147,97.813,88.154,78.09,68.225,58.936,50.434,42.816,36.101,30.259,25.231,20.943,17.313,14.26,11.707,9.582,7.822,6.37,5.176,4.196,3.396,2.743,2.212,1.782,1.433,1.15,0.923,0.739,0.591,0.473,0.377,0.301,0.24,0.191,1307,1.4439398E-8,4.3302916E-8,47.71,984.45,25.11,6.88571,1.13714,0.445714,0.16,0.154286,0.0571429,0.04,0.00571429,0.0285714,0.00571429,0.00571429,0.0171429,2.52441e-07,5.91986e-07,4.09538e-06,17.3765
